mirna,mrna,correlation
miRNA_277,ENSG00000113739.10,0.3495483930136349
miRNA_25,ENSG00000065618.21,0.3259878334813874
miRNA_25,ENSG00000112936.19,0.3478129834751053
miRNA_138,ENSG00000112936.19,0.3156621751862483
miRNA_277,ENSG00000157303.11,0.31020411919146496
miRNA_25,ENSG00000138615.6,0.316790982946131
miRNA_25,ENSG00000213088.12,0.38329173673953143
miRNA_138,ENSG00000213088.12,0.3296877768411054
miRNA_277,ENSG00000235584.3,0.35013352428050987
miRNA_25,ENSG00000106809.11,0.3832022698188861
miRNA_25,ENSG00000113296.14,0.3248247924944604
miRNA_277,ENSG00000136883.14,0.3824765764121216
miRNA_277,ENSG00000183888.4,0.30669741661322947
miRNA_25,ENSG00000049540.18,0.3482073899096698
